argFunctionR	[,]
<=	[<=]
decl	[const, int]
constInitVal	[+, -, !, Ident, (, INT]
constDef	[Ident]
compUnit	[const, void, int]
addExp	[+, -, !, Ident, (, INT]
unaryOp	[+, -, !]
program	[const, void, int]
addExpAtom	[+, -]
mulExpAtom	[*, /, %]
relExp	[+, -, !, Ident, (, INT]
argVarDecl	[,]
number	[INT]
eqExp	[+, -, !, Ident, (, INT]
funcFParams	[int]
block	[{]
mulExp	[+, -, !, Ident, (, INT]
argExp	[+, -, !, Ident, (, INT]
exp	[+, -, !, Ident, (, INT]
constExp	[+, -, !, Ident, (, INT]
==	[==]
!	[!]
void	[void]
assignExp	[+, -, !, Ident, (, INT]
%	[%]
lVal	[Ident]
(	[(]
)	[)]
*	[*]
assignExpAtom	[=]
+	[+]
,	[,]
-	[-]
/	[/]
bType	[int]
unaryExp	[+, -, !, Ident, (, INT]
varDef	[Ident]
primaryExp	[(, INT]
;	[;]
blockItem	[const, ;, {, return, int, +, -, !, Ident, (, INT]
<	[<]
!=	[!=]
=	[=]
>	[>]
>=	[>=]
funcDef	[void]
eqExpAtom	[==, !=]
const	[const]
funcRParam	[+, -, !, Ident, (, INT]
INT	[INT]
funcRParams	[+, -, !, Ident, (, INT]
initVal	[+, -, !, Ident, (, INT]
argConst	[,]
funcType	[void]
Ident	[Ident]
relExpAtom	[<, >, <=, >=]
constDecl	[const]
callFunc	[(]
int	[int]
argVarDef	[=]
funcFParam	[int]
{	[{]
argFunctionF	[,]
}	[}]
varDecl	[int]
return	[return]
stmt	[;, {, return, +, -, !, Ident, (, INT]
